Breed,Country,Origin,Body type,Coat,Pattern
Abyssinian cat,Ethiopia,Natural/Standard,,Short, Ticked
Aegean cat,Greece,Natural/Standard,,Semi-long, Bi- or tri-colored
American Curl,United States,Mutation,,Short/Long,All
American Bobtail,United States,Mutation,,Short/Long,All
American Shorthair,United States,Natural,,Short,All but colorpoint
American Wirehair,United States,Mutation,,Rex,All but colorpoint
Arabian Mau , Arabian Peninsula ,Natural , , Short ,
Australian Mist,Australia,Crossbreed,Moderate,Short,Spotted and Classic tabby
Asian cat , developed in the<br />United Kingdom<br />(founding stock<br />from Asia) , , , Short , Evenly solid
Asian Semi-longhair,United Kingdom,Crossbreed,,Semi-long,Solid
Balinese cat,developed in the<br />United States<br />(founding stock<br />from Thailand),Crossbreed,Oriental,Long,Colorpoint
Bambino cat,United States,Crossbreed,,Hairless/Furry down,
Bengal cat,developed in the<br />United States<br />(founding stock<br />from Asia),Hybrid,,Short,Spotted or Marbled
Birman,Burma,Natural,,Semi Long,Colourpoint
Bombay cat,developed in the<br />United States<br />(founding stock<br />from Asia),Crossbred,Moderate,Short,Solid
Brazilian Shorthair,Brazil,Natural,,Short,All
British Longhair,United Kingdom,,Cobby,Medium,All
British Shorthair,United Kingdom,Natural,Cobby,Short,All
British Longhair,United Kingdom,,Cobby,Long
Burmese cat,Burma and Thailand,Natural,,Short,Solid
Burmilla,United Kingdom,Crossbreed,,Short/Long
California Spangled,United States,Crossbreed,,Short,Spotted
Chantilly-Tiffany,United States,,,
Chartreux,France,Natural,Cobby,Short,Solid
Chausie,France,Hybrid,,Short,Ticked
Cheetoh cat,United States,Hybrid Crossbreed,,Short,Spotted
Colorpoint Shorthair,,,,Short
Cornish Rex,United Kingdom (England),Mutation,,Rex,All
Cymric cat,<br />or Manx Longhair,United Kingdom (Isle of Man),Natural/Mutation,,Long
Cyprus cat,Cyprus,Natural,Lean and muscular,All,All
Devon Rex,United Kingdom (England),Mutation,Oriental,Rex,All
Donskoy cat,<br />or Don Sphynx,Russia,,,Hairless
Dragon Li,China,Natural,,Short,Striped tabby
Dwarf cat,<br />or Dwelf,,Crossbreed,,,Hairless
Egyptian Mau,Egypt,Natural,,Short,Spotted
European Shorthair,Finland and Sweden,Natural,,Short
Exotic Shorthair,United States,Crossbreed,Cobby,Short,All
Foldex cat (Official Breed - CCA/AFC),Canada,Crossbreed,Cobby,Short,All
German Rex,East Germany,Mutation,,Rex
Havana Brown,United Kingdom,,,Short,Solid
Highlander cat,United States,Crossbreed,Moderate,Short/Long,All
Himalayan cat,<br />or Colorpoint Persian,Nepal,Crossbreed,Cobby,Long,Colorpoint
Japanese Bobtail,Japan,Natural,Moderate,Short/Long,All but colorpoint and ticked
Javanese cat,United States,Crossbreed,Oriental,Long/Short,Colorpoint
Kurilian Bobtail,Western Russia,Natural,,,
Khao Manee,Thailand,Natural,,Short,Solid
Korat,Thailand,Natural,,Short,Solid
Korean Bobtail,Korea,Natural,,Short/Long,Colorprint
Korn Ja,Thailand,Natural,,Short,Solid
Kurilian Bobtail,<br />or Kuril Islands Bobtail,Eastern Russia,<br />Japan,Natural,Semi-Cobby,Short/Long
LaPerm,United States,Mutation,Moderate,Rex,All
Lykoi,United States,Natural/Mutation,,Partly Hairless,Ticked
Maine Coon,United States,Natural,Large,Long,All but colorpoint and ticked
Manx cat,United Kingdom (Isle of Man),Natural/Mutation,,Short/Long,All but colorpoint
Mekong Bobtail,Russia,Natural/Mutation,,Short,Colorpoint
Minskin,United States,Crossbreed,Semi-Cobby,Short/Hairless,All
Munchkin cat,United States,Mutation,,
Nebelung,United States,,,Semi-long,Solid
Napoleon cat , , , , Long/short , Varied
Norwegian Forest cat,Norway,Natural,,Long,All but colorpoint
Ocicat,United States,Crossbreed,,Short,Spotted
Ojos Azules,United States,,,,
Oregon Rex,United States,Mutation,,Rex,
Oriental Bicolor,,,Oriental,,Bicolor
Oriental Shorthair,,,Oriental,Short,All but colorpoint
Oriental Longhair, ,,Oriental,Semi-long
PerFold Cat (Experimental Breed - WCF),Europe,Crossbreed,Cobby,Long,All
Persian cat,Iran (Persia),Crossbreed,Cobby,Long,All
Traditional Persian,Natural,Cobby,Long,All
Peterbald,Russia,Crossbreed,Stocky,Hairless,All
Pixie-bob,United States,Natural,,Short,Spotted
Raas cat,Indonesia,Natural,,Short,
Ragamuffin cat,United States,Crossbreed,Cobby,Long,All
Ragdoll,United States,Crossbreed,Cobby,Long,"Colorpoint, Mitted, Bicolor"
Russian Blue,Russia,Natural,,Short,Solid
Russian White, Black and Tabby,Australia,Crossbreed,,Short,
Sam Sawet,Thailand,Natural,,Short,Solid
Savannah cat,United States,Hybrid,,Short,Spotted
Scottish Fold,United Kingdom (Scotland),Natural/Mutation,Cobby,Short/Long,All
Selkirk Rex,United States,Mutation/Cross,,Rex (Short/Long),All
Serengeti cat,United States,Hybrid Crossbreed,,Short,Spotted
Serrade petit cat,France,Natural,,Short
Siamese cat,Thailand,Natural,Oriental,Short,Colorpoint
Siberian cat,Russia,Natural,Semi-Cobby,Semi-long,All
Singapura cat,Singapore,Natural,,Short,Ticked
Snowshoe cat,United States,Crossbreed,,Short,Colorpoint
Sokoke,Kenya,Natural,,Short,Classic tabby with ticking
Somali cat,Somalia,Mutation,,Long,Ticked
Sphynx cat,Canada,Mutation,Stocky,Hairless,All
Suphalak,Thailand,Natural,,Short,Solid
Thai cat,Thailand,Natural,,Short,Colorpoint
Thai Lilac,Thailand,Natural,,Short,Solid,
Tonkinese cat,Canada,Crossbreed,,Short,"Colorpoint, Mink or Solid"
Toyger,United States,Crossbreed,Moderate,Short, Mackerel
Turkish Angora,Turkey,Natural,,Semi-long,All but colorpoint
Turkish Van,developed in the<br />United Kingdom<br />(founding stock<br />from Turkey),Natural,,Semi-long,Van
Ukrainian Levkoy,Ukraine ,,,Hairless
